Metric,numeric working memory - Overall accuracy (%) - placebo,numeric working memory - Overall accuracy (%) - rbsf,numeric working memory - Overall accuracy (%) - rb,spatial working memory - Overall accuracy (%) - placebo,spatial working memory - Overall accuracy (%) - rbsf,spatial working memory - Overall accuracy (%) - rb,immediate word recall - Words correctly recalled accuracy (%) - placebo,immediate word recall - Words correctly recalled accuracy (%) - rbsf,immediate word recall - Words correctly recalled accuracy (%) - rb,immediate word recall - Errors (#) - placebo,immediate word recall - Errors (#) - rbsf,immediate word recall - Errors (#) - rb,delayed word recall - Words correctly recalled accuracy (%) - placebo,delayed word recall - Words correctly recalled accuracy (%) - rbsf,delayed word recall - Words correctly recalled accuracy (%) - rb,delayed word recall - Errors (#) - placebo,delayed word recall - Errors (#) - rbsf,delayed word recall - Errors (#) - rb,word recognition - Overall accuracy (%) - placebo,word recognition - Overall accuracy (%) - rbsf,word recognition - Overall accuracy (%) - rb,pattern recognition - Overall accuracy (%) - placebo,pattern recognition - Overall accuracy (%) - rbsf,pattern recognition - Overall accuracy (%) - rb
t,-1.4388888888888889,1.3666666666666667,-0.12631578947368421,-1.3884615384615384,-0.34615384615384615,-0.2296296296296296,-0.6166666666666667,-1.02,-0.03,-0.6,-1.0999999999999999,1.9,-3.90625,-2.8437499999999996,-2.303030303030303,2.0999999999999996,1.4000000000000001,1.9,-3.90625,-2.83125,-2.2969696969696973,-0.12258064516129032,-5.166666666666667,1.9193548387096775
p,0.15695201980976092,0.17837283524255354,0.9000324660422889,0.17168384737771958,0.7308054097909957,0.8193976046702411,0.5404947879402044,0.31306319095783275,0.9761968381269577,0.5514506764670704,0.2770555583178562,0.06371211531866239,0.0003051683869017552,0.006630980440804235,0.025849715230884085,0.04124202995099768,0.16822198597351923,0.06371211531866239,0.0003051683869017552,0.006855033075536365,0.02622222622300696,0.9029731714162341,5.014258541269356e-06,0.061155080458920485
d,-0.41537144366698076,0.3945226839462443,-0.03646422752776584,-0.4008143214951056,-0.0999260081289737,-0.06628836424029036,-0.17801633300013464,-0.29444863728670917,-0.008660254037844388,-0.17320508075688773,-0.31754264805429416,0.5484827557301445,-1.127637244510988,-0.8209199140039991,-0.6648275827032055,0.606217782649107,0.40414518843273806,0.5484827557301445,-1.127637244510988,-0.817311474821564,-0.663078036432934,-0.035385984240654485,-1.4914881954065335,0.5540700163997216
